Законопроекты на 22.05.2022,,,,,,,,,
№,"Номер, наименование",Дата внесения,СПЗИ,Последнее событие,Дата последнего события,Ответственный комитет,Профильный комитет,Комитеты-соисполнители,Отрасль законодательства
2,"126882-8
О внесении изменения в статью 11 Трудового кодекса Российской Федерации",19.05.2022,"Депутаты ГД Д.А.Свищев, А.В.Картаполов, Я.Е.Нилов, Б.В.Иванюженков, Д.Ю.Пирог, А.В.Шипулин, С.В.Бурлаков, А.М.Хамитов, Р.А.Баталова, Р.Г.Калимуллин, Е.В.Ревенко, Б.Р.Пайкин, Р.И.Терюшков, В.А.Третьяк, Г.А.Карлов","1.2 Прохождение законопроекта у Председателя Государственной Думы
направлен в комитет(ы) Государственной Думы - Профильный комитет: Комитет Государственной Думы по труду, социальной политике и делам ветеранов",20.05.2022,,"Комитет Государственной Думы по труду, социальной политике и делам ветеранов",,
3,"126369-8
О внесении изменений в статью 217-1 части второй Налогового кодекса Российской Федерации",19.05.2022,"Депутаты ГД Л.Э.Слуцкий, Я.Е.Нилов, Д.А.Свищев, А.Н.Диденко, С.Д.Леонов, Б.Р.Пайкин, С.А.Наумов; Сенаторы РФ И.Н.Абрамов, Е.В.Афанасьева, В.Е.Деньгин","1.2 Прохождение законопроекта у Председателя Государственной Думы
направлен в комитет(ы) Государственной Думы - Профильный комитет: Комитет Государственной Думы по бюджету и налогам",20.05.2022,,Комитет Государственной Думы по бюджету и налогам,,
7,"126586-8
О внесении изменений в статью 1225 части четвертой Гражданского кодекса Российской Федерации (в части расширения перечня охраняемых результатов интеллектуальной деятельности в виде невзаимозаменяемых токенов)",19.05.2022,"Депутаты ГД А.О.Ткачев, В.А.Даванков","1.2 Прохождение законопроекта у Председателя Государственной Думы
направлен в комитет(ы) Государственной Думы - Профильный комитет: Комитет Государственной Думы по государственному строительству и законодательству",20.05.2022,,Комитет Государственной Думы по государственному строительству и законодательству,,
13,"116366-8 (в архиве) 
О майнинге в Российской Федерации",29.04.2022,"Депутаты ГД А.О.Ткачев, В.В.Плякин, Г.В.Шилкин, С.В.Авксентьева","2.1 Принятие профильным комитетом решения о представлении законопроекта в Совет Государственной Думы (предварительное рассмотрение)
снять законопроект с рассмотрения Государственной Думы в связи с отзывом субъектом права законодательной инициативы",20.05.2022,,Комитет Государственной Думы по финансовому рынку,, 080.000.000 Финансы
14,"127141-8
О внесении изменения в статью 34 Федерального закона ""О воинской обязанности и военной службе""
(по вопросу заключения первого контракта о прохождении военной службы)",20.05.2022,"Депутаты ГД А.В.Картаполов, А.Л.Красов","2.1 Принятие профильным комитетом решения о представлении законопроекта в Совет Государственной Думы (предварительное рассмотрение)
предложить принять законопроект к рассмотрению",20.05.2022,,Комитет Государственной Думы по обороне,,
18,"127342-8
О внесении изменений в статью 18 Федерального закона ""Об образовании в Российской Федерации""",20.05.2022,"Депутаты ГД Г.А.Зюганов, В.И.Кашин, М.Н.Берулава, Н.В.Коломейцев, Н.В.Арефьев, Н.И.Осадчий, Б.В.Иванюженков","1.1 Регистрация законопроекта и материалов к нему в САДД ГД
зарегистрирован и направлен Председателю Государственной Думы",20.05.2022,,,,
20,"127321-8
О внесении изменений в статью 17.3 Кодекса Российской Федерации об административных правонарушениях",20.05.2022,"Депутаты ГД З.З.Байгускаров, Д.В.Бессарабов","1.1 Регистрация законопроекта и материалов к нему в САДД ГД
зарегистрирован и направлен Председателю Государственной Думы",20.05.2022,,,,
23,"104796-8
О внешней администрации по управлению организацией",12.04.2022,"Депутаты ГД А.Б.Выборный, М.Е.Старшинов, В.П.Водолацкий, О.А.Матвейчев","3.1 Принятие ответственным комитетом решения о представлении законопроекта в Совет Государственной Думы (первое чтение)
предложить принять законопроект в первом чтении",20.05.2022,"Комитет Государственной Думы по вопросам собственности, земельным и имущественным отношениям","Комитет Государственной Думы по вопросам собственности, земельным и имущественным отношениям","Комитет Государственной Думы по финансовому рынку, Комитет Государственной Думы по промышленности и торговле, Комитет Государственной Думы по защите конкуренции", 030.000.000 Гражданское право
24,"126384-8
О российском движении детей и молодежи ""Большая перемена""",19.05.2022,"Депутаты ГД А.П.Метелев, О.М.Казакова, О.В.Тимофеева, Н.А.Останина, А.Ю.Кузнецова, Б.А.Чернышов, В.А.Даванков, Я.В.Лантратова, М.А.Гулин, Н.П.Бурляев, В.П.Исаков; Сенаторы РФ Л.С.Гумерова, Л.Н.Глебова, Г.Н.Карелова","1.2 Прохождение законопроекта у Председателя Государственной Думы
направлен в комитет(ы) Государственной Думы - Профильный комитет: Комитет Государственной Думы по молодежной политике",20.05.2022,,Комитет Государственной Думы по молодежной политике,,
26,"126405-8
О внесении изменений в отдельные законодательные акты Российской Федерации в связи с принятием Федерального закона ""О российском движении детей и молодежи ""Большая перемена""",19.05.2022,"Депутаты ГД А.П.Метелев, О.М.Казакова, О.В.Тимофеева, Н.А.Останина, А.Ю.Кузнецова, Б.А.Чернышов, В.А.Даванков, Я.В.Лантратова, М.А.Гулин, Н.П.Бурляев, В.П.Исаков; Сенаторы РФ Л.С.Гумерова, Л.Н.Глебова, Г.Н.Карелова","1.2 Прохождение законопроекта у Председателя Государственной Думы
направлен в комитет(ы) Государственной Думы - Профильный комитет: Комитет Государственной Думы по молодежной политике",20.05.2022,,Комитет Государственной Думы по молодежной политике,,
27,"125779-8
О внесении изменений в Кодекс Российской Федерации об административных правонарушениях
(в части уточнения полномочий военнослужащих федерального органа исполнительной власти в сфере мобилизационной подготовки и мобилизации)",18.05.2022,"Депутаты ГД А.В.Картаполов, А.Л.Красов, Д.В.Саблин, Ю.Н.Швыткин, А.В.Гурулев, В.М.Заварзин, Г.А.Карлов, И.И.Квитка, Т.А.Кусайко, Е.В.Лебедев, З.А.Муцоев","2.1 Принятие профильным комитетом решения о представлении законопроекта в Совет Государственной Думы (предварительное рассмотрение)
предложить принять законопроект к рассмотрению",20.05.2022,,Комитет Государственной Думы по государственному строительству и законодательству,, 020.060.000 Административные правонарушения и административная ответственность
28,"127303-8
О майнинге в Российской Федерации",20.05.2022,"Депутаты ГД А.О.Ткачев, В.В.Плякин, Г.В.Шилкин, С.В.Авксентьева","1.1 Регистрация законопроекта и материалов к нему в САДД ГД
зарегистрирован и направлен Председателю Государственной Думы",20.05.2022,,,,
29,"127249-8
О внесении изменений в статьи 15-1 и 24 Федерального закона ""О статусе военнослужащих""",20.05.2022,"Депутаты ГД А.В.Картаполов, А.Л.Красов, Ю.Н.Швыткин, Д.В.Саблин, В.М.Заварзин, А.В.Гурулев, Т.А.Кусайко, Г.А.Карлов, И.И.Квитка, Е.В.Лебедев, З.А.Муцоев","1.1 Регистрация законопроекта и материалов к нему в САДД ГД
зарегистрирован и направлен Председателю Государственной Думы",20.05.2022,,,,
31,"127171-8
О внесении изменений в статью 25 Федерального закона Российской Федерации ""О безопасности дорожного движения""",20.05.2022,"Депутаты ГД С.В.Авксентьева, А.В.Демин, О.Ю.Леонов","1.1 Регистрация законопроекта и материалов к нему в САДД ГД
зарегистрирован и направлен Председателю Государственной Думы",20.05.2022,,,,
34,"107968-8
О внесении изменения в статью 136 Федерального закона ""О несостоятельности (банкротстве)""
(в части уточнения порядка удовлетворения требований кредиторов)",18.04.2022,"Депутаты ГД Я.Е.Нилов, Д.А.Свищев, А.Н.Диденко, С.Д.Леонов; Сенаторы РФ И.Н.Абрамов, Е.В.Афанасьева, В.Е.Деньгин","2.1 Принятие профильным комитетом решения о представлении законопроекта в Совет Государственной Думы (предварительное рассмотрение)
предложить принять законопроект к рассмотрению",20.05.2022,,"Комитет Государственной Думы по вопросам собственности, земельным и имущественным отношениям",, 030.000.000 Гражданское право
36,"101381-8
О внесении изменений в Закон Российской Федерации ""О праве граждан Российской Федерации на свободу передвижения, выбор места пребывания и жительства в пределах Российской Федерации"" и статью 8 Федерального закона ""О дополнительных гарантиях по социальной поддержке детей-сирот и детей, оставшихся без попечения родителей""
(в части регистрации по адресам администраций муниципальных образований лиц из числа детей-сирот, не имеющих мест, где они постоянно или преимущественно проживают)",06.04.2022,"Депутаты ГД Е.П.Стенякина, Д.Ф.Вяткин, С.И.Неверов, Т.В.Буцкая, Е.В.Марков, Я.Е.Нилов, Я.В.Лантратова, С.М.Миронов, Н.А.Останина, А.А.Аникеев, А.Ю.Кузнецова, А.П.Метелев","3.1 Принятие ответственным комитетом решения о представлении законопроекта в Совет Государственной Думы (первое чтение)
предложить принять законопроект в первом чтении",19.05.2022,"Комитет Государственной Думы по вопросам семьи, женщин и детей","Комитет Государственной Думы по вопросам семьи, женщин и детей","Комитет Государственной Думы по государственному строительству и законодательству, Комитет Государственной Думы по строительству и жилищно-коммунальному хозяйству, Комитет Государственной Думы по региональной политике и местному самоуправлению"," 040.000.000 Семья,  050.000.000 Жилище"
38,"5790-8
О внесении изменений в Федеральный закон ""О дополнительных мерах государственной поддержки семей, имеющих детей""
(о предоставлении материнского (семейного) капитала отдельным категориям граждан в случае рождения (усыновления) третьего ребенка в субъектах Российской Федерации с низкой рождаемостью)",21.10.2021,"Депутаты ГД Я.Е.Нилов, А.Н.Диденко, Д.А.Свищев, С.Д.Леонов; Сенатор РФ И.Н.Абрамов","3.3 Рассмотрение законопроекта Государственной Думой (первое чтение)
законопроект не рассматривался",19.05.2022,"Комитет Государственной Думы по вопросам семьи, женщин и детей","Комитет Государственной Думы по вопросам семьи, женщин и детей",," 040.080.000 Охрана семьи, материнства, отцовства и детства"
40,"28098-8
О внесении изменений в отдельные законодательные акты в связи с принятием Федерального закона ""О потребительской корзине в целом по Российской Федерации""",30.11.2021,"Депутаты ГД С.М.Миронов, О.А.Нилов, Д.Г.Гусев, А.А.Кузнецов, А.В.Чепа, А.Г.Аксаков, А.С.Аксененко, И.А.Ананских, В.В.Белоусов, Н.П.Бурляев, А.И.Лисицын, Ю.И.Григорьев, М.Г.Делягин, Н.В.Новичков, А.А.Ремезков, А.В.Терентьев, Г.П.Хованская, А.М.Бабаков, Г.Ю.Семигин; Сенатор РФ О.Н.Епифанова","3.3 Рассмотрение законопроекта Государственной Думой (первое чтение)
законопроект не рассматривался",19.05.2022,"Комитет Государственной Думы по труду, социальной политике и делам ветеранов","Комитет Государственной Думы по труду, социальной политике и делам ветеранов",, 070.000.000 Социальное обеспечение и социальное страхование
41,"28059-8
О потребительской корзине в целом по Российской Федерации",30.11.2021,"Депутаты ГД С.М.Миронов, О.А.Нилов, Д.Г.Гусев, А.А.Кузнецов, А.В.Чепа, А.Г.Аксаков, А.С.Аксененко, И.А.Ананских, В.В.Белоусов, Н.П.Бурляев, А.И.Лисицын, Ю.И.Григорьев, М.Г.Делягин, Н.В.Новичков, А.А.Ремезков, А.В.Терентьев, Г.П.Хованская, А.М.Бабаков, Г.Ю.Семигин; Сенатор РФ О.Н.Епифанова","3.3 Рассмотрение законопроекта Государственной Думой (первое чтение)
законопроект не рассматривался",19.05.2022,"Комитет Государственной Думы по труду, социальной политике и делам ветеранов","Комитет Государственной Думы по труду, социальной политике и делам ветеранов",, 070.000.000 Социальное обеспечение и социальное страхование
43,"126842-8
О внесении изменений в Федеральный закон ""О порядке предоставления Российской Федерацией военного и гражданского персонала для участия в деятельности по поддержанию или восстановлению международного мира и безопасности""",19.05.2022,"Депутаты ГД С.М.Миронов, Г.Ю.Семигин, О.А.Нилов, Д.Г.Гусев, Д.В.Кузнецов, А.А.Кузнецов, А.С.Аксененко, М.Г.Делягин, Н.В.Новичков, Я.В.Лантратова","1.1 Регистрация законопроекта и материалов к нему в САДД ГД
зарегистрирован и направлен Председателю Государственной Думы",19.05.2022,,,,
45,"109642-8
Об Общественном совете Российской Федерации по телевидению",19.04.2022,"Депутаты ГД С.М.Миронов, Г.Ю.Семигин, О.А.Нилов, В.К.Гартунг, Д.Г.Гусев, А.А.Кузнецов, А.А.Ремезков, А.Н.Грешневиков, Н.П.Бурляев, М.Г.Делягин, А.С.Аксененко, И.А.Ананских, Я.В.Лантратова; Сенатор РФ О.Н.Епифанова","2.1 Принятие профильным комитетом решения о представлении законопроекта в Совет Государственной Думы (предварительное рассмотрение)
предложить принять законопроект к рассмотрению",19.05.2022,,"Комитет Государственной Думы по информационной политике, информационным технологиям и связи",, 130.040.030 Телевидение. Радиовещание 
46,"109466-8 (в архиве) 
О внесении изменений в Федеральный закон ""Об информации, информационных технологиях и о защите информации""",19.04.2022,"Депутаты ГД С.А.Гаврилов, И.И.Демченко, А.Н.Дорошенко, Н.В.Костенко, В.И.Пискарев","2.1 Принятие профильным комитетом решения о представлении законопроекта в Совет Государственной Думы (предварительное рассмотрение)
вернуть законопроект субъекту права законодательной инициативы для выполнения требований Конституции Российской Федерации и Регламента Государственной Думы",19.05.2022,,"Комитет Государственной Думы по информационной политике, информационным технологиям и связи",,
47,"101646-8
О внесении изменений в отдельные законодательные акты Российской Федерации
(в части уточнения порядка распространения информации)",06.04.2022,"Депутаты ГД В.И.Пискарев, А.Г.Альшевских, М.Г.Делягин, А.К.Луговой, Р.Б.Чемерис, М.В.Бутина, Я.В.Лантратова, О.А.Матвейчев, Е.В.Ревенко, Д.И.Савельев, А.О.Ткачев, А.Л.Шхагошев, С.Д.Леонов","3.1 Принятие ответственным комитетом решения о представлении законопроекта в Совет Государственной Думы (первое чтение)
предложить принять законопроект в первом чтении",19.05.2022,"Комитет Государственной Думы по информационной политике, информационным технологиям и связи","Комитет Государственной Думы по информационной политике, информационным технологиям и связи",Комитет Государственной Думы по безопасности и противодействию коррупции, 120.070.000 Информационная безопасность. Защита информации и прав субъектов в области информационных процессов и информатизации
