,Name,Faction,Comittee,Comission
0,Х.М.Абакаров,ЕДИНАЯ РОССИЯ,Комитет Государственной Думы по молодежной политике,
1,М.Ю.Авдеев,КПРФ,Комитет Государственной Думы по строительству и жилищно-коммунальному хозяйству,['Комиссия Государственной Думы Федерального Собрания Российской Федерации по обеспечению жилищных прав граждан ']
2,С.В.Авксентьева,НОВЫЕ ЛЮДИ,Комитет Государственной Думы по региональной политике и местному самоуправлению,['Комиссия Государственной Думы Федерального Собрания Российской Федерации по вопросам депутатской этики ']
3,Б.В.Агаев,ЕДИНАЯ РОССИЯ,"Комитет Государственной Думы по экологии, природным ресурсам и охране окружающей среды",
4,Р.А.Азимов,ЕДИНАЯ РОССИЯ,Комитет Государственной Думы по безопасности и противодействию коррупции,
5,Э.Р.Аиткулова,ЕДИНАЯ РОССИЯ,,
6,А.Г.Аксаков,СПРАВЕДЛИВАЯ РОССИЯ – ЗА ПРАВДУ,Комитет Государственной Думы по финансовому рынку,
7,А.С.Аксёненко,СПРАВЕДЛИВАЯ РОССИЯ – ЗА ПРАВДУ,Комитет Государственной Думы по строительству и жилищно-коммунальному хозяйству,['Комиссия Государственной Думы Федерального Собрания Российской Федерации по обеспечению жилищных прав граждан ']
8,Н.Н.Алексеенко,ЕДИНАЯ РОССИЯ,Комитет Государственной Думы по строительству и жилищно-коммунальному хозяйству,
9,А.А.Алехин,КПРФ,"Комитет Государственной Думы по труду, социальной политике и делам ветеранов",
10,О.Н.Алимова,КПРФ,,['Комиссия Государственной Думы Федерального Собрания Российской Федерации по Регламенту и обеспечению деятельности Государственной Думы ']
11,С.В.Алтухов,ЕДИНАЯ РОССИЯ,Комитет Государственной Думы по экономической политике,
12,А.Г.Альшевских,ЕДИНАЯ РОССИЯ,Комитет Государственной Думы по безопасности и противодействию коррупции,"['Комиссия Государственной Думы Федерального Собрания Российской Федерации по расследованию фактов вмешательства иностранных государств во внутренние дела России ', 'Комиссия Государственной Думы Федерального Собрания Российской Федерации по рассмотрению расходов федерального бюджета, направленных на обеспечение национальной обороны, национальной безопасности и правоохранительной деятельности ']"
13,П.Р.Аммосов,КПРФ,Комитет Государственной Думы по транспорту и развитию транспортной инфраструктуры,
14,И.А.Ананских,СПРАВЕДЛИВАЯ РОССИЯ – ЗА ПРАВДУ,Комитет Государственной Думы по энергетике,
15,А.А.Аникеев,ЕДИНАЯ РОССИЯ,Комитет Государственной Думы по аграрным вопросам,
16,Г.В.Аникеев,ЕДИНАЯ РОССИЯ,"Комитет Государственной Думы по вопросам собственности, земельным и имущественным отношениям",
17,И.А.Антропенко,ЕДИНАЯ РОССИЯ,Комитет Государственной Думы по промышленности и торговле,
18,О.Н.Ануфриева,ЕДИНАЯ РОССИЯ,"Комиссия Государственной Думы Федерального Собрания Российской Федерации по вопросам контроля за достоверностью сведений о доходах, об имуществе и обязательствах имущественного характера, представляемых депутатами Государственной Думы и мандатным вопросам","['Комиссия Государственной Думы Федерального Собрания Российской Федерации по рассмотрению расходов федерального бюджета, направленных на обеспечение национальной обороны, национальной безопасности и правоохранительной деятельности ']"
19,Г.К.Арапов,НОВЫЕ ЛЮДИ,"Комитет Государственной Думы по экологии, природным ресурсам и охране окружающей среды",
20,Н.В.Арефьев,КПРФ,Комитет Государственной Думы по экономической политике,['Комиссия Государственной Думы Федерального Собрания Российской Федерации по вопросам депутатской этики ']
21,В.Н.Артамонова,ЕДИНАЯ РОССИЯ,Комитет Государственной Думы по бюджету и налогам,
22,О.И.Аршба,ЕДИНАЯ РОССИЯ,"Комиссия Государственной Думы Федерального Собрания Российской Федерации по вопросам контроля за достоверностью сведений о доходах, об имуществе и обязательствах имущественного характера, представляемых депутатами Государственной Думы и мандатным вопросам",
23,А.И.Аршинова,ЕДИНАЯ РОССИЯ,,
24,Ю.В.Афонин,КПРФ,"Комиссия Государственной Думы Федерального Собрания Российской Федерации по вопросам контроля за достоверностью сведений о доходах, об имуществе и обязательствах имущественного характера, представляемых депутатами Государственной Думы и мандатным вопросам","['Комиссия Государственной Думы Федерального Собрания Российской Федерации по рассмотрению расходов федерального бюджета, направленных на обеспечение национальной обороны, национальной безопасности и правоохранительной деятельности ']"
25,Р.З.Аюпов,ЕДИНАЯ РОССИЯ,Комитет Государственной Думы по транспорту и развитию транспортной инфраструктуры,
26,А.М.Бабаков,СПРАВЕДЛИВАЯ РОССИЯ – ЗА ПРАВДУ,,
